1464206650,34.5749,137.853,6525.5
1464206700,34.575,137.859,6247.89
1464206750,34.575,137.865,5974.51
1464206800,34.5751,137.871,5705.2
1464206850,34.5753,137.876,5439.83
1464206900,34.5758,137.881,5178.26
1464206950,34.5763,137.885,4920.34
1464207000,34.577,137.89,4665.96
1464207050,34.5777,137.894,4415
1464207100,34.5785,137.899,4167.35
1464207150,34.5793,137.904,3922.9
1464207200,34.5803,137.909,3681.56
1464207250,34.5813,137.913,3443.22
1464207300,34.5822,137.918,3207.8
1464207350,34.583,137.922,2975.21
1464207400,34.5834,137.926,2745.36
1464207450,34.5835,137.93,2518.18
1464207500,34.5834,137.934,2293.6
1464207550,34.5835,137.938,2071.54
1464207600,34.5842,137.941,1851.93
1464207650,34.5853,137.944,1634.7
1464207700,34.5865,137.946,1419.8
1464207750,34.5877,137.948,1207.16
1464207800,34.5889,137.95,996.73
1464207850,34.5901,137.951,788.446
1464207900,34.5913,137.952,582.259
1464207950,34.5923,137.952,378.116
1464208000,34.5928,137.952,175.969
1464208044,34.5929,137.952,-0.308143
